content,content_stemmed_no_common_2,content_regex,content_regex_norm,text_clean,_tokens,tokens_clean,score,sentiment,reviewCreatedVersion,major_version,at,thumbsUpCount
setelah diperbarui harus login ulang tapi karena lupa password minta dikirim ulang email konfirmasi tapi kenapa link yang dikirim selalu expired padahal baru dikirim langsung dibuka. tolong dong diperbaiki sistemnya kalau link yang dikirim udah expired terus ngapain dikirim.,baru login ulang lupa password kirim ulang email konfirmasi link kirim expired kirim langsung buka tolong baik sistem link kirim expired kapai kirim,baru login ulang lupa password kirim ulang email konfirmasi link kirim expired kirim langsung buka tolong baik sistem link kirim expired kapai kirim,baru login ulang lupa password kirim ulang email konfirmasi link kirim expired kirim langsung buka tolong baik sistem link kirim expired kapai kirim,baru login ulang lupa password kirim ulang email konfirmasi link kirim expired kirim langsung buka tolong baik sistem link kirim expired kapai kirim,"['baru', 'login', 'ulang', 'lupa', 'password', 'kirim', 'ulang', 'email', 'konfirmasi', 'link', 'kirim', 'expired', 'kirim', 'langsung', 'buka', 'tolong', 'baik', 'sistem', 'link', 'kirim', 'expired', 'kapai', 'kirim']","['baru', 'login', 'ulang', 'lupa', 'password', 'kirim', 'ulang', 'email', 'konfirmasi', 'link', 'kirim', 'expired', 'kirim', 'langsung', 'buka', 'tolong', 'baik', 'sistem', 'link', 'kirim', 'expired', 'kapai', 'kirim']",3,neutral,5.1.2,5,2020-06-09 12:19:59,13
baik terima kasih,terima kasih,terima kasih,terima kasih,terima kasih,"['terima', 'kasih']","['terima', 'kasih']",5,positive,,nan,2020-06-08 23:06:31,0
ok banget,ok banget,ok banget,ok banget,ok banget,"['ok', 'banget']","['ok', 'banget']",5,positive,5.1.1,5,2020-06-08 22:01:49,0
sekedar saran dalam applikasi ini sediakan bahasa indonesia karena bagi orang tua yg tdk memahami bhs inggris akam kesulitan dan mengandalkan orang lain yg tentu saja tdk menjamin keamanan akun pemiliknya.,dar saran sedia bahasa indonesia orang tua paham bahasa inggris akam sulit andal orang jamin aman akun milik,dar saran sedia bahasa indonesia orang tua paham bahasa inggris akam sulit andal orang jamin aman akun milik,dar saran sedia bahasa indonesia orang tua paham bahasa inggris akam sulit andal orang jamin aman akun milik,dar saran sedia bahasa indonesia orang tua paham bahasa inggris sulit andal orang jamin aman akun milik,"['dar', 'saran', 'sedia', 'bahasa', 'indonesia', 'orang', 'tua', 'paham', 'bahasa', 'inggris', 'akam', 'sulit', 'andal', 'orang', 'jamin', 'aman', 'akun', 'milik']","['dar', 'saran', 'sedia', 'bahasa', 'indonesia', 'orang', 'tua', 'paham', 'bahasa', 'inggris', 'sulit', 'andal', 'orang', 'jamin', 'aman', 'akun', 'milik']",3,neutral,,nan,2020-06-08 15:05:40,0
tidak bisa meresset password... bagaimana ini ??,meresset password,meresset password,meresset password,password,"['meresset', 'password']",['password'],3,neutral,5.1.1,5,2020-06-08 12:47:10,0
"saya jadi ga bisa login, dikasih link reset password dibilangnya expired, gitu aja terus",login kasih link reset password bilang expired,login kasih link reset password bilang expired,login kasih link reset password bilang expired,login kasih link reset password bilang expired,"['login', 'kasih', 'link', 'reset', 'password', 'bilang', 'expired']","['login', 'kasih', 'link', 'reset', 'password', 'bilang', 'expired']",2,negative,5.1.1,5,2020-06-01 12:46:38,1
setelah di update aplikasi selalu logout.. sering error..,update logout error,update logout error,update logout error,update logout error,"['update', 'logout', 'error']","['update', 'logout', 'error']",3,neutral,5.1.1,5,2020-05-31 09:03:15,0
this is so cute application. thanks for making this.,this is sok cute application thanks for making this,this is sok cute application thanks for making this,this is sok cute application thanks for making this,this is sok application thanks for this,"['this', 'is', 'sok', 'cute', 'application', 'thanks', 'for', 'making', 'this']","['this', 'is', 'sok', 'application', 'thanks', 'for', 'this']",5,positive,5.1.1,5,2020-05-29 12:33:53,0
memuaskan,muas,muas,muas,muas,['muas'],['muas'],5,positive,5.1.1,5,2020-05-28 11:00:53,0
good,good,good,good,good,['good'],['good'],5,positive,,nan,2020-05-27 13:10:25,0
ok and siiip,ok and siiip,ok and siip,ok and siip,ok and siip,"['ok', 'and', 'siip']","['ok', 'and', 'siip']",5,positive,5.1.1,5,2020-05-24 03:21:18,0
top bgt,top banget,top banget,top banget,top banget,"['top', 'banget']","['top', 'banget']",5,positive,5.1.1,5,2020-05-24 01:50:12,0
miles saya hilang 6000an tanpa sebab. td ny 38 rb jd 32 rb,miles hilang 6000an 38 ribu 32 ribu,miles hilang an ribu ribu,miles hilang an ribu ribu,miles hilang an ribu ribu,"['miles', 'hilang', 'an', 'ribu', 'ribu']","['miles', 'hilang', 'an', 'ribu', 'ribu']",1,negative,5.1.1,5,2020-05-23 14:19:29,0
bolak balik ganti password tetap tidak bisa. error atau gimana ya?,bolak ganti password error,bolak ganti password error,bolak ganti password error,bolak ganti password error,"['bolak', 'ganti', 'password', 'error']","['bolak', 'ganti', 'password', 'error']",3,neutral,,nan,2020-05-21 03:29:40,0
informatif,informatif,informatif,informatif,informatif,['informatif'],['informatif'],5,positive,5.0.4,5,2020-05-18 10:22:14,0
"gff masih error ini gimana?? setelah update, kartu gff digital expired date nya aneh, dan sekarang malah jadi tidak bisa login, di coba reset password pakai nomor gff tapi tidak ada email yang diterima.",gff error gimana update kartu gff digital expired date aneh login coba reset password pakai nomor gff email terima,gff error gimana update kartu gff digital expired date aneh login coba reset password pakai nomor gff email terima,gf error gimana update kartu gf digital expired date aneh login coba reset password pakai nomor gf email terima,gf error update kartu gf digital expired date aneh login coba reset password pakai nomor gf email terima,"['gf', 'error', 'gimana', 'update', 'kartu', 'gf', 'digital', 'expired', 'date', 'aneh', 'login', 'coba', 'reset', 'password', 'pakai', 'nomor', 'gf', 'email', 'terima']","['gf', 'error', 'update', 'kartu', 'gf', 'digital', 'expired', 'date', 'aneh', 'login', 'coba', 'reset', 'password', 'pakai', 'nomor', 'gf', 'email', 'terima']",2,negative,5.1.1,5,2020-05-17 16:56:01,6
bagus akurat,bagus akurat,bagus akurat,bagus akurat,bagus akurat,"['bagus', 'akurat']","['bagus', 'akurat']",4,positive,5.1.1,5,2020-05-17 13:13:43,0
susah masuknya,susah masuk,susah masuk,susah masuk,susah masuk,"['susah', 'masuk']","['susah', 'masuk']",1,negative,5.1.1,5,2020-05-16 16:27:59,0
"setelah update jadi gak bisa log in, harus reset password. email ke garuda center juga berulang- ulang tetap hasil yang sama. dikirim link reset pasword tapi link nya telah expired. sampe sekarang saya tidak bisa log in ke account gff saya.",update log in reset password email center ulang ulang hasil kirim link reset pasword link expired log account gff,update log in reset password email center ulang ulang hasil kirim link reset pasword link expired log account gff,update log in reset password email center ulang ulang hasil kirim link reset pasword link expired log account gf,update log in reset password email center ulang ulang hasil kirim link reset pasword link expired log account gf,"['update', 'log', 'in', 'reset', 'password', 'email', 'center', 'ulang', 'ulang', 'hasil', 'kirim', 'link', 'reset', 'pasword', 'link', 'expired', 'log', 'account', 'gf']","['update', 'log', 'in', 'reset', 'password', 'email', 'center', 'ulang', 'ulang', 'hasil', 'kirim', 'link', 'reset', 'pasword', 'link', 'expired', 'log', 'account', 'gf']",2,negative,5.1.1,5,2020-05-16 12:40:16,10
baik pelayanannya,layan,layan,layan,layan,['layan'],['layan'],4,positive,5.1.1,5,2020-05-13 14:21:23,0
gak ada bahasa indonesianya ya...? kok bahasa inggris semua😊,bahasa indonesia bahasa inggris semua,bahasa indonesia bahasa inggris semua,bahasa indonesia bahasa inggris semua,bahasa indonesia bahasa inggris,"['bahasa', 'indonesia', 'bahasa', 'inggris', 'semua']","['bahasa', 'indonesia', 'bahasa', 'inggris']",1,negative,5.1.1,5,2020-05-13 10:51:34,1
sangat memudahkan pelanggan,mudah langgan,mudah langgan,mudah langgan,mudah langgan,"['mudah', 'langgan']","['mudah', 'langgan']",4,positive,5.1.1,5,2020-05-12 03:58:45,0
"masih belum bisa menambah rencana perjalanan di my trip, walaupun katanya udah di fixing bug...",tambah rencana jalan my trip fixing bug,tambah rencana jalan my trip fixing bug,tambah rencana jalan my trip fixing bug,tambah rencana jalan my trip bug,"['tambah', 'rencana', 'jalan', 'my', 'trip', 'fixing', 'bug']","['tambah', 'rencana', 'jalan', 'my', 'trip', 'bug']",3,neutral,5.1.1,5,2020-05-11 21:17:23,0
"gak bs log in, reset pasword pun gak dikirim email perubahan nya. udah telpon cs garuda katanya mau dibantu tapi tetep aja gak ada email perubahan pasword masuk pqdahal email udah sesuai.",log in reset pasword kirim email ubah telpon cs bantu email ubah pasword masuk pqdahal email sesuai,log in reset pasword kirim email ubah telpon cs bantu email ubah pasword masuk pqdahal email sesuai,log in reset pasword kirim email ubah telpon cs bantu email ubah pasword masuk pqdahal email sesuai,log in reset pasword kirim email ubah telpon cs bantu email ubah pasword masuk email sesuai,"['log', 'in', 'reset', 'pasword', 'kirim', 'email', 'ubah', 'telpon', 'cs', 'bantu', 'email', 'ubah', 'pasword', 'masuk', 'pqdahal', 'email', 'sesuai']","['log', 'in', 'reset', 'pasword', 'kirim', 'email', 'ubah', 'telpon', 'cs', 'bantu', 'email', 'ubah', 'pasword', 'masuk', 'email', 'sesuai']",2,negative,5.1.1,5,2020-05-11 04:56:17,5
sulit login setelah update aplikasi,sulit login update,sulit login update,sulit login update,sulit login update,"['sulit', 'login', 'update']","['sulit', 'login', 'update']",3,neutral,5.1.1,5,2020-05-11 03:16:30,1
masih tidak ada penerbangan kah ini pak,terbang kah,terbang kah,terbang kah,terbang kah,"['terbang', 'kah']","['terbang', 'kah']",3,neutral,,nan,2020-05-10 01:53:25,0
aplikasinya lengkap...,lengkap,lengkap,lengkap,lengkap,['lengkap'],['lengkap'],5,positive,5.1.1,5,2020-05-08 14:06:58,0
good,good,good,good,good,['good'],['good'],5,positive,5.1.1,5,2020-05-07 11:51:22,0
ga bisa login. coba reset no respon /tidak muncul pop up apapun. coba booking flight pada periode mei masih muncul penerbangan.. apakah udah bisa mudik? eh pulkam..,login coba reset no respon muncul pop up apa coba booking flight periode mei muncul terbang mudik eh pulkam,login coba reset no respon muncul pop up apa coba booking flight periode mei muncul terbang mudik eh pulkam,login coba reset no respon muncul pop up apa coba booking flight periode mei muncul terbang mudik eh pulkam,login coba reset no respon muncul pop up apa coba booking flight muncul terbang mudik eh,"['login', 'coba', 'reset', 'no', 'respon', 'muncul', 'pop', 'up', 'apa', 'coba', 'booking', 'flight', 'periode', 'mei', 'muncul', 'terbang', 'mudik', 'eh', 'pulkam']","['login', 'coba', 'reset', 'no', 'respon', 'muncul', 'pop', 'up', 'apa', 'coba', 'booking', 'flight', 'muncul', 'terbang', 'mudik', 'eh']",2,negative,5.1.1,5,2020-05-06 15:05:27,2
enjoy,enjoy,enjoy,enjoy,enjoy,['enjoy'],['enjoy'],5,positive,5.1.1,5,2020-05-05 22:09:30,0
"kami kasih bintang 4 dulu ya. karena saat saya mau upgrade seat dari economy ke bisnis menggunakan miles, fitur yang kami bilang tidak ada . tks",kasih bintang 4 upgrade seat economy bisnis miles fitur bilang tks,kasih bintang upgrade seat economy bisnis miles fitur bilang tks,kasih bintang upgrade seat economy bisnis miles fitur bilang tks,kasih bintang upgrade seat economy bisnis miles fitur bilang tks,"['kasih', 'bintang', 'upgrade', 'seat', 'economy', 'bisnis', 'miles', 'fitur', 'bilang', 'tks']","['kasih', 'bintang', 'upgrade', 'seat', 'economy', 'bisnis', 'miles', 'fitur', 'bilang', 'tks']",4,positive,5.1.1,5,2020-05-05 11:10:59,2
good,good,good,good,good,['good'],['good'],5,positive,,nan,2020-05-02 18:04:49,0
aplikasi setelah diperbaharui malah akun hilang.login lagi ga bisa apaan..sudah puluhan kali riset pasword tetep ga bisa. seberanya aplikasi masih bisa dipakai atau memang sudah bangkrut ..,baharu akun hilanglogin apaansudah puluh kali riset pasword bera pakai bangkrut,baharu akun hilanglogin apaansudah puluh kali riset pasword bera pakai bangkrut,baharu akun hilanglogin apaansudah puluh kali riset pasword bera pakai bangkrut,baharu akun puluh kali pasword pakai bangkrut,"['baharu', 'akun', 'hilanglogin', 'apaansudah', 'puluh', 'kali', 'riset', 'pasword', 'bera', 'pakai', 'bangkrut']","['baharu', 'akun', 'puluh', 'kali', 'pasword', 'pakai', 'bangkrut']",1,negative,5.1.1,5,2020-05-01 11:59:14,2
"halo min mau tanya ni , kok aplikasinx sulit login ya. padahal udah bener paswrd dan no.memberx . ????",halo min nih aplikasinx sulit login paswrd nomemberx,halo min nih aplikasinx sulit login paswrd nomemberx,halo min nih aplikasinx sulit login paswrd nomemberx,halo min nih sulit login,"['halo', 'min', 'nih', 'aplikasinx', 'sulit', 'login', 'paswrd', 'nomemberx']","['halo', 'min', 'nih', 'sulit', 'login']",3,neutral,5.1.1,5,2020-04-28 02:45:48,0
"kenapa setelah update, malah g bisa masuk dgn password yg sama..?",update masuk password,update masuk password,update masuk password,update masuk password,"['update', 'masuk', 'password']","['update', 'masuk', 'password']",2,negative,5.1.1,5,2020-04-27 07:53:15,0
good,good,good,good,good,['good'],['good'],5,positive,,nan,2020-04-22 13:54:05,0
sangat baik dan bermanfaat,manfaat,manfaat,manfat,manfat,['manfat'],['manfat'],5,positive,5.1.1,5,2020-04-21 10:51:28,0
"aplikasi sering eror, tiba2 log out sendiri dan tidak bisa log in kembali. payah lah!!",eror tibatiba log out log payah,eror tibatiba log out log payah,eror tibatiba log out log payah,eror tibatiba log out log payah,"['eror', 'tibatiba', 'log', 'out', 'log', 'payah']","['eror', 'tibatiba', 'log', 'out', 'log', 'payah']",1,negative,,nan,2020-04-19 14:13:20,0
nambah 1 bintang ya,tambah 1 bintang,tambah bintang,tambah bintang,tambah bintang,"['tambah', 'bintang']","['tambah', 'bintang']",5,positive,5.1.1,5,2020-04-18 00:05:56,0
semoga garudan bisa betransformasi menjadi maskapai kebangaan dunja,moga garudan betransformasi maskapai kebangaan dunja,moga garudan betransformasi maskapai kebangaan dunja,moga garudan betransformasi maskapai kebangan dunja,moga maskapai,"['moga', 'garudan', 'betransformasi', 'maskapai', 'kebangan', 'dunja']","['moga', 'maskapai']",5,positive,,nan,2020-04-17 17:16:40,0
sempat logout. mau log in lg ga bs..invalid ga miles dan password.udah berkali2 uninstall tetep aja sama ga bs log in.,logout log bsinvalid miles passwordudah berkali2 uninstall log in,logout log bsinvalid miles passwordudah berkali uninstall log in,logout log bsinvalid miles passwordudah berkali uninstal log in,logout log miles berkali uninstal log in,"['logout', 'log', 'bsinvalid', 'miles', 'passwordudah', 'berkali', 'uninstal', 'log', 'in']","['logout', 'log', 'miles', 'berkali', 'uninstal', 'log', 'in']",1,negative,5.1.1,5,2020-04-17 05:24:08,2
"mudah diaplikasikan, informatif dan lengkap",mudah informatif lengkap,mudah informatif lengkap,mudah informatif lengkap,mudah informatif lengkap,"['mudah', 'informatif', 'lengkap']","['mudah', 'informatif', 'lengkap']",5,positive,5.1.1,5,2020-04-16 11:21:42,0
kenapa tiba-tiba logout ya? dan gak bisa login katanya password salah padahal udah bener yg saya masukin di web juga gitu reset password juga link reset gak masuk2 ke email..,tibatiba logout login password salah pasuk web reset password link reset masuk2 email,tibatiba logout login password salah pasuk web reset password link reset masuk email,tibatiba logout login password salah pasuk web reset password link reset masuk email,tibatiba logout login password salah pasuk web reset password link reset masuk email,"['tibatiba', 'logout', 'login', 'password', 'salah', 'pasuk', 'web', 'reset', 'password', 'link', 'reset', 'masuk', 'email']","['tibatiba', 'logout', 'login', 'password', 'salah', 'pasuk', 'web', 'reset', 'password', 'link', 'reset', 'masuk', 'email']",1,negative,5.1.1,5,2020-04-16 05:25:50,5
mantap 👍🏻,mantap,mantap,mantap,mantap,['mantap'],['mantap'],5,positive,,nan,2020-04-14 23:58:59,0
mudah utk user,mudah user,mudah user,mudah user,mudah user,"['mudah', 'user']","['mudah', 'user']",5,positive,5.1.0,5,2020-04-13 14:27:17,0
good. terima kasih.,good terima kasih,good terima kasih,good terima kasih,good terima kasih,"['good', 'terima', 'kasih']","['good', 'terima', 'kasih']",5,positive,5.1.1,5,2020-04-13 11:59:32,0
great gia chatbot,great gia chatbot,great gia chatbot,great gia chatbot,great gia,"['great', 'gia', 'chatbot']","['great', 'gia']",5,positive,5.1.1,5,2020-04-13 03:39:40,0
mantap,mantap,mantap,mantap,mantap,['mantap'],['mantap'],5,positive,5.1.1,5,2020-04-10 10:37:53,0
diupdate malah gak bs masuk padahal sdh benar minta password ulang gak bs terus makin parah garuda,diupdate masuk password ulang parah,diupdate masuk password ulang parah,diupdate masuk password ulang parah,diupdate masuk password ulang parah,"['diupdate', 'masuk', 'password', 'ulang', 'parah']","['diupdate', 'masuk', 'password', 'ulang', 'parah']",1,negative,5.1.1,5,2020-04-10 01:38:52,0
"tidak bisa login, padahal milesno sama password sudah benar. tolong perbaiki !",login milesno password tolong baik,login milesno password tolong baik,login milesno password tolong baik,login password tolong baik,"['login', 'milesno', 'password', 'tolong', 'baik']","['login', 'password', 'tolong', 'baik']",1,negative,5.1.1,5,2020-04-09 23:55:34,1
"apaan ini abis update kok log out. mau log in g bisa, katerangannya salah password. eh mau reset password malah katanya member not found, padahal nomor miles bener. duh 🙄",habis update log out log katerangannya salah password eh reset password member not found nomor miles bener duh,habis update log out log katerangannya salah password eh reset password member not found nomor miles bener duh,habis update log out log katerangannya salah password eh reset password member not found nomor miles bener duh,habis update log out log salah password eh reset password member not found nomor miles bener duh,"['habis', 'update', 'log', 'out', 'log', 'katerangannya', 'salah', 'password', 'eh', 'reset', 'password', 'member', 'not', 'found', 'nomor', 'miles', 'bener', 'duh']","['habis', 'update', 'log', 'out', 'log', 'salah', 'password', 'eh', 'reset', 'password', 'member', 'not', 'found', 'nomor', 'miles', 'bener', 'duh']",1,negative,5.1.1,5,2020-04-09 14:55:43,8
ketika buka recent activity tdk bisa access. sdh 2 x kirim email tp ngga ada tanggapan. dan sampai skr blm bisa buka recent activity.,buka recent activity access 2 kali kirim email tanggap buka recent activity,buka recent activity access kali kirim email tanggap buka recent activity,buka recent activity acces kali kirim email tanggap buka recent activity,buka recent activity acces kali kirim email tanggap buka recent activity,"['buka', 'recent', 'activity', 'acces', 'kali', 'kirim', 'email', 'tanggap', 'buka', 'recent', 'activity']","['buka', 'recent', 'activity', 'acces', 'kali', 'kirim', 'email', 'tanggap', 'buka', 'recent', 'activity']",2,negative,5.1.0,5,2020-04-07 12:06:46,1
belakangan ini tiba2 keluar sendiri & tidak bisa login lagi... dicoba dengan cara lupa pasword pun sama aja.. terpaksa lah uninstal..tidak perduli dengan miles nya...,tibatiba login coba lupa pasword aja paksa uninstaltidak duli miles,tibatiba login coba lupa pasword aja paksa uninstaltidak duli miles,tibatiba login coba lupa pasword aja paksa uninstaltidak duli miles,tibatiba login coba lupa pasword aja paksa miles,"['tibatiba', 'login', 'coba', 'lupa', 'pasword', 'aja', 'paksa', 'uninstaltidak', 'duli', 'miles']","['tibatiba', 'login', 'coba', 'lupa', 'pasword', 'aja', 'paksa', 'miles']",1,negative,,nan,2020-04-07 06:09:04,0
good,good,good,good,good,['good'],['good'],5,positive,,nan,2020-04-05 22:48:41,0
"saya sudah mencoba login dengan nomor dan password yang benar tetapi selalu invalid, ketika saya coba pakai menu lupa password dan memasukan nomor dan email recovery tetapi tidak ada balasan email apapun",coba login nomor password invalid coba pakai menu lupa password pasu nomor email recovery balas email apa,coba login nomor password invalid coba pakai menu lupa password pasu nomor email recovery balas email apa,coba login nomor password invalid coba pakai menu lupa password pasu nomor email recovery balas email apa,coba login nomor password invalid coba pakai menu lupa password pasu nomor email balas email apa,"['coba', 'login', 'nomor', 'password', 'invalid', 'coba', 'pakai', 'menu', 'lupa', 'password', 'pasu', 'nomor', 'email', 'recovery', 'balas', 'email', 'apa']","['coba', 'login', 'nomor', 'password', 'invalid', 'coba', 'pakai', 'menu', 'lupa', 'password', 'pasu', 'nomor', 'email', 'balas', 'email', 'apa']",1,negative,5.1.0,5,2020-04-05 03:27:20,5
mantap,mantap,mantap,mantap,mantap,['mantap'],['mantap'],5,positive,5.1.0,5,2020-04-04 16:43:30,0
"saya menggunakan aplikasi gia miles yg seblumnya dan beberapa penerbangan saya dg garuda blm masuk dipenambahan miles, sdh dilaporkan kpd pihak tiketing garuda ybs bilang butuh 2 minggu sampai terinput di ga miles. nyatanya sdh berbulan-bulan blm masuk jg meskipun sdh saya refresh. sampai akhirnya saya logout dan tdk bisa login kembali bahkan dg aplikasi yg baru.",gia miles seblumnya terbang masuk tambah miles lapor tiketing ybs bilang butuh 2 minggu terinput miles berbulanbulan masuk refresh logout login,gia miles seblumnya terbang masuk tambah miles lapor tiketing ybs bilang butuh minggu terinput miles berbulanbulan masuk refresh logout login,gia miles seblumnya terbang masuk tambah miles lapor tiketing ybs bilang butuh minggu terinput miles berbulanbulan masuk refresh logout login,gia miles terbang masuk tambah miles lapor bilang butuh minggu miles masuk logout login,"['gia', 'miles', 'seblumnya', 'terbang', 'masuk', 'tambah', 'miles', 'lapor', 'tiketing', 'ybs', 'bilang', 'butuh', 'minggu', 'terinput', 'miles', 'berbulanbulan', 'masuk', 'refresh', 'logout', 'login']","['gia', 'miles', 'terbang', 'masuk', 'tambah', 'miles', 'lapor', 'bilang', 'butuh', 'minggu', 'miles', 'masuk', 'logout', 'login']",2,negative,5.1.0,5,2020-04-04 14:12:09,1
"aplikasi error, kartu sy platinum pas cek in malah jd silver, log out malah ga bisa login lagi",error kartu platinum pas cek silver log out login,error kartu platinum pas cek silver log out login,error kartu platinum pas cek silver log out login,error kartu platinum pas cek silver log out login,"['error', 'kartu', 'platinum', 'pas', 'cek', 'silver', 'log', 'out', 'login']","['error', 'kartu', 'platinum', 'pas', 'cek', 'silver', 'log', 'out', 'login']",2,negative,5.1.0,5,2020-04-04 12:55:38,1
"sedikit2 sdh mulai bgus,, tapi klau bisa ad dua lg yg harus di perbaiki pertama bahasa dan yang kedua pembayaran atm bri. karna perna sy belikan teman ngk bisa.",sedikit2 bgus baik bahasa bayar atm bri belikan teman,sedikit bgus baik bahasa bayar atm bri belikan teman,sedikit bgus baik bahasa bayar atm bri belikan teman,bgus baik bahasa bayar atm bri,"['sedikit', 'bgus', 'baik', 'bahasa', 'bayar', 'atm', 'bri', 'belikan', 'teman']","['bgus', 'baik', 'bahasa', 'bayar', 'atm', 'bri']",4,positive,5.1.0,5,2020-04-03 08:26:28,1
bagus permainan,bagus main,bagus main,bagus main,bagus main,"['bagus', 'main']","['bagus', 'main']",5,positive,,nan,2020-04-02 10:07:41,0
pelayanan bagus,layan bagus,layan bagus,layan bagus,layan bagus,"['layan', 'bagus']","['layan', 'bagus']",5,positive,,nan,2020-04-02 03:59:35,0
good,good,good,good,good,['good'],['good'],5,positive,,nan,2020-03-28 00:54:22,0
"saat saya mau claim garuda miles, krn ada kesalahan input data, saat klik kembali loadingnya minta ampun lama dan hang. pemberlakuan kadaluarsa miles merugikan member yg jarang melakukan perjalanan dgn maskapai penerbangan udara.",claim miles salah input data klik loadingnya ampun hang laku kadaluarsa miles rugi member jarang jalan maskapai terbang udara,claim miles salah input data klik loadingnya ampun hang laku kadaluarsa miles rugi member jarang jalan maskapai terbang udara,claim miles salah input data klik loadingnya ampun hang laku kadaluarsa miles rugi member jarang jalan maskapai terbang udara,claim miles salah input data klik loadingnya ampun hang laku kadaluarsa miles rugi member jarang jalan maskapai terbang udara,"['claim', 'miles', 'salah', 'input', 'data', 'klik', 'loadingnya', 'ampun', 'hang', 'laku', 'kadaluarsa', 'miles', 'rugi', 'member', 'jarang', 'jalan', 'maskapai', 'terbang', 'udara']","['claim', 'miles', 'salah', 'input', 'data', 'klik', 'loadingnya', 'ampun', 'hang', 'laku', 'kadaluarsa', 'miles', 'rugi', 'member', 'jarang', 'jalan', 'maskapai', 'terbang', 'udara']",3,neutral,5.0.4,5,2020-03-27 15:42:42,0
"saya sudah memasukkan garuda miles no.dan password saya dengan benar,akan tetapi tidak dapat login,saya sudah mengirim email keluhan tetapi tdk ada balasan bagaimana ini?",masuk miles nodan password benara loginsaya kirim email keluh balas,masuk miles nodan password benara loginsaya kirim email keluh balas,masuk miles nodan password benara loginsaya kirim email keluh balas,masuk miles password kirim email keluh balas,"['masuk', 'miles', 'nodan', 'password', 'benara', 'loginsaya', 'kirim', 'email', 'keluh', 'balas']","['masuk', 'miles', 'password', 'kirim', 'email', 'keluh', 'balas']",1,negative,5.1.0,5,2020-03-27 09:29:09,1
rute penerbangan berkurang utk indonesia timur,rute terbang kurang indonesia timur,rute terbang kurang indonesia timur,rute terbang kurang indonesia timur,rute terbang kurang indonesia timur,"['rute', 'terbang', 'kurang', 'indonesia', 'timur']","['rute', 'terbang', 'kurang', 'indonesia', 'timur']",3,neutral,,nan,2020-03-26 15:38:32,0
"kenapa th 2020 sekarang point milesnya makin kecil? th kemaren poin sekali jalan saya 216 sekarang hanya 73, utk rute yg sama. mohon penjelasannya..",2020 point milesnya kemarin poin jalan 216 73 rute mohon jelas,point milesnya kemarin poin jalan rute mohon jelas,point milesnya kemarin poin jalan rute mohon jelas,point milesnya kemarin poin jalan rute mohon jelas,"['point', 'milesnya', 'kemarin', 'poin', 'jalan', 'rute', 'mohon', 'jelas']","['point', 'milesnya', 'kemarin', 'poin', 'jalan', 'rute', 'mohon', 'jelas']",5,positive,5.0.4,5,2020-03-24 01:56:29,0
keluhan ditanggapi dengan cepat dan bijaksana,keluh tanggap cepat bijaksana,keluh tanggap cepat bijaksana,keluh tanggap cepat bijaksana,keluh tanggap cepat bijaksana,"['keluh', 'tanggap', 'cepat', 'bijaksana']","['keluh', 'tanggap', 'cepat', 'bijaksana']",5,positive,5.1.0,5,2020-03-21 20:20:25,0
ok,ok,ok,ok,ok,['ok'],['ok'],5,positive,5.1.0,5,2020-03-19 17:06:35,0
susah cek in onlinenya masukan nama salah terus,susah cek onlinenya masuk nama salah,susah cek onlinenya masuk nama salah,susah cek onlinenya masuk nama salah,susah cek masuk nama salah,"['susah', 'cek', 'onlinenya', 'masuk', 'nama', 'salah']","['susah', 'cek', 'masuk', 'nama', 'salah']",1,negative,5.1.0,5,2020-03-17 07:05:16,0
"tetap bangga dengan garuda indonesia, semoga makin berjaya",bangga indonesia moga jaya,bangga indonesia moga jaya,bangga indonesia moga jaya,bangga indonesia moga jaya,"['bangga', 'indonesia', 'moga', 'jaya']","['bangga', 'indonesia', 'moga', 'jaya']",5,positive,5.1.0,5,2020-03-16 21:49:14,0
"penerbangannya masih garansi selalu tepat waktu, posisi duduk untuk kelas ekonomi cukup nyaman jarak kursi cukup luas pelayanan cruew sangat ramah dan responship pelayanan e-digital sangat membantu",terbang garansi posisi duduk kelas ekonomi nyaman jarak kursi luas layan cruew ramah responship layan edigital bantu,terbang garansi posisi duduk kelas ekonomi nyaman jarak kursi luas layan cruew ramah responship layan edigital bantu,terbang garansi posisi duduk kelas ekonomi nyaman jarak kursi luas layan cruew ramah responship layan edigital bantu,terbang posisi duduk kelas ekonomi nyaman jarak kursi layan ramah layan bantu,"['terbang', 'garansi', 'posisi', 'duduk', 'kelas', 'ekonomi', 'nyaman', 'jarak', 'kursi', 'luas', 'layan', 'cruew', 'ramah', 'responship', 'layan', 'edigital', 'bantu']","['terbang', 'posisi', 'duduk', 'kelas', 'ekonomi', 'nyaman', 'jarak', 'kursi', 'layan', 'ramah', 'layan', 'bantu']",5,positive,5.1.0,5,2020-03-16 06:38:37,0
