content,content_stemmed_no_common_2,content_regex,content_regex_norm,tokens_nltk,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
"saya pnya voucher refund thn lalu, dan hrus book tlp k cs gk boleh pake app. saya udh book tgl 26 mar lalu, tapi e-ticket gk diterbitkan, akhirnya saya tlp. ternyata cs nya bilang alasanya karena kesalahan travel assistent, kalau mau diterbitkan lg hrus byar tambahan. hello garuda gila? itu kesalahan tim garuda krena gak issue tiket, terus saya disuruh bayar lagi? saya rekam semua percakapan dgn cs, saya mau sebarin sebab gak ada itikad baik dari pihak garuda!!",voucher refund book telepon cs pakai book tanggal 26 mar eticket terbit tlp cs bilang alasanya salah travel assistent terbit byar tambah hello gila salah tim issue tiket suruh bayar rekam cakap cs sebarin itikad,voucher refund book telepon cs pakai book tanggal mar eticket terbit tlp cs bilang alasanya salah travel assistent terbit byar tambah hello gila salah tim issue tiket suruh bayar rekam cakap cs sebarin itikad,voucher refund book telepon cs pakai book tanggal mar eticket terbit tlp cs bilang alasanya salah travel assistent terbit byar tambah hello gila salah tim issue tiket suruh bayar rekam cakap cs sebarin itikad,"['voucher', 'refund', 'book', 'telepon', 'cs', 'pakai', 'book', 'tanggal', 'mar', 'eticket', 'terbit', 'tlp', 'cs', 'bilang', 'alasanya', 'salah', 'travel', 'assistent', 'terbit', 'byar', 'tambah', 'hello', 'gila', 'salah', 'tim', 'issue', 'tiket', 'suruh', 'bayar', 'rekam', 'cakap', 'cs', 'sebarin', 'itikad']",1,43,5.2.3,2021-04-06 01:52:02,,
semoga bisa pilih kursi dan pesan cepat melaui app store dan bisa cek in lwt ektp tanpa harus di bandara,moga pilih kursi pesan cepat melaui store cek ektp bandara,moga pilih kursi pesan cepat melaui store cek ektp bandara,moga pilih kursi pesan cepat melaui store cek ektp bandara,"['moga', 'pilih', 'kursi', 'pesan', 'cepat', 'melaui', 'store', 'cek', 'ektp', 'bandara']",5,1,5.2.3,2021-04-03 12:06:36,"Pelanggan kami yang terhormat. Terima kasih telah berbagi tanggapan Anda. Kami akan memaksimalkan fungsi dari aplikasi guna kenyamanan pelanggan. Hormat kami, Garuda Indonesia.",2021-04-03 14:49:57
baik,,,,[],5,0,5.2.0.1,2021-04-01 07:53:50,"Pelanggan Kami Yang Terhormat, Bapak Faisal. Terima kasih telah memberikan bintang lima, semoga aplikasinya bermanfaat. Hormat kami, Garuda Indonesia.",2021-04-02 03:47:07
sangat baik,,,,[],5,0,5.2.3,2021-03-31 09:09:22,"Pelanggan Kami Yang Terhormat. Terima kasih telah memberikan bintang lima, semoga aplikasinya bermanfaat. Hormat kami, Garuda Indonesia.",2021-03-31 17:12:43
pelayanan prima,layan prima,layan prima,layan prima,"['layan', 'prima']",5,1,5.2.3,2021-03-30 10:14:37,"Pelanggan Yth. Bapak. Widodo Ganteng. Terima kasih, kami sangat senang mendengarnya. Hormat kami, Garuda Indonesia.",2021-03-30 20:29:16
"susahnya live chat, sudah nunggu lama eh begitu masuk dan chatting disuruh nunggu 3 menit, sudah nunggu malah kluar sendiri.",susah live chat tunggu eh masuk chatting suruh tunggu 3 menit tunggu,susah live chat tunggu eh masuk chatting suruh tunggu menit tunggu,susah live chat tunggu eh masuk chatting suruh tunggu menit tunggu,"['susah', 'live', 'chat', 'tunggu', 'eh', 'masuk', 'chatting', 'suruh', 'tunggu', 'menit', 'tunggu']",2,1,,2021-03-30 05:07:02,,
ga jelas pengguna promo nya,guna promo,guna promo,guna promo,"['guna', 'promo']",1,2,5.2.3,2021-03-30 02:21:48,"Pelanggan Kami Yang Terhormat. Terkait dengan case berikut, mohon dapat dikirimkan tangkapan layar kendala yang dialami ke e-booking@garuda-indonesia.com untuk kami tindak lanjuti. Mohon maaf atas ketidaknyamanan yang terjadi. Demikian disampaikan. Hormat Kami, Garuda Indonesia.",2021-03-30 20:27:31
goof,goof,goof,goof,['goof'],5,0,,2021-03-29 14:12:46,"Dear Mr. Nursal Hasan. Thank you for giving us five stars. Sincerely, Garuda Indonesia.",2021-03-30 20:17:26
"mau merubah profil aja ga bs di save.... jumlah miles pointnya tdk kelihatan ga nyambung sama bank yg bekerjasama padahal dr bank sudah ditukarkan point milesnya,tp disini masih saja nol...tolong diperbaiki applikasinya ya...buang2 kuota ...terimakasih",rubah profil save miles point sambung bank bekerjasama bank tukar point milesnyatp noltolong baik applikasinya yabuang2 kuota terimakasih,rubah profil save miles point sambung bank bekerjasama bank tukar point milesnyatp noltolong baik applikasinya yabuang kuota terimakasih,rubah profil save miles point sambung bank bekerjasama bank tukar point milesnyatp noltolong baik applikasinya yabuang kuota terimakasih,"['rubah', 'profil', 'save', 'miles', 'point', 'sambung', 'bank', 'bekerjasama', 'bank', 'tukar', 'point', 'milesnyatp', 'noltolong', 'baik', 'applikasinya', 'yabuang', 'kuota', 'terimakasih']",1,0,5.1.8,2021-03-27 01:00:53,"Pelanggan Yth. Bapak. Andreas. Terkait dengan case berikut, mohon dapat dikirimkan tangkapan layar kendala yang dialami ke e-booking@garuda-indonesia.com untuk kami tindak lanjuti. Mohon maaf atas ketidaknyamanan yang terjadi. Demikian disampaikan. Hormat Kami, Garuda Indonesia.",2021-03-29 00:10:39
failed muluu,failed muluu,failed muluu,failed muluu,"['failed', 'muluu']",1,0,5.2.3,2021-03-26 02:21:37,"Pelanggan Yth. Ibu. Windiane Theresia. Terkait dengan case berikut, mohon dapat dikirimkan tangkapan layar kendala yang dialami ke e-booking@garuda-indonesia.com untuk kami tindak lanjuti. Mohon maaf atas ketidaknyamanan yang terjadi. Demikian disampaikan. Hormat Kami, Garuda Indonesia.",2021-03-26 22:15:25
tidak bisa masuk berulang kali mau masuk,masuk ulang kali masuk,masuk ulang kali masuk,masuk ulang kali masuk,"['masuk', 'ulang', 'kali', 'masuk']",1,3,5.2.2.1,2021-03-25 03:48:07,"Pelanggan Yth. Bapak. Adi Gustaman. Terkait dengan case berikut, mohon dapat dikirimkan tangkapan layar kendala yang dialami ke e-booking@garuda-indonesia.com untuk kami tindak lanjuti. Mohon maaf atas ketidaknyamanan yang terjadi. Demikian disampaikan. Hormat Kami, Garuda Indonesia.",2021-03-25 16:31:45
sgt membañtu dan mudah acses nya,memba tu mudah acses,memba tu mudah acses,memba tu mudah acses,"['memba', 'tu', 'mudah', 'acses']",5,1,5.2.2.1,2021-03-24 22:50:20,"Pelanggan Yth. Bapak. Gunawan Effendi. Terima kasih telah memberikan bintang lima, semoga aplikasinya bermanfaat. Hormat kami, Garuda Indonesia.",2021-03-25 01:41:13
good,good,good,good,['good'],5,0,5.2.2.1,2021-03-22 05:03:39,"Dear Our Valued Customer. Thank you so much for your encouraging star ratings. Sincerely, Garuda Indonesia.",2021-03-22 12:37:44
"makin update makin gak jelas, makin turun fungsinya. awalnya bisa menyimpan reservasi bookingan. setelah update malah ilang semua dan minta login terus jika aplikasi dibuka, dan history bookingan reservasi hilang. ludu nambah manual lagi. begitu dibuka minta login lagi dan history ilang lagi, gini aja terus. males. updatenya ga berguna. kalah jauh sama maskapai lcc aplikasinya.",update turun fungsi simpan reservasi bookingan update hilang login buka history bookingan reservasi hilang ludu tambah manual buka login history hilang males updatenya guna kalah maskapai lcc,update turun fungsi simpan reservasi bookingan update hilang login buka history bookingan reservasi hilang ludu tambah manual buka login history hilang males updatenya guna kalah maskapai lcc,update turun fungsi simpan reservasi bookingan update hilang login buka history bookingan reservasi hilang ludu tambah manual buka login history hilang males updatenya guna kalah maskapai lc,"['update', 'turun', 'fungsi', 'simpan', 'reservasi', 'bookingan', 'update', 'hilang', 'login', 'buka', 'history', 'bookingan', 'reservasi', 'hilang', 'ludu', 'tambah', 'manual', 'buka', 'login', 'history', 'hilang', 'males', 'updatenya', 'guna', 'kalah', 'maskapai', 'lc']",1,1,5.2.2.1,2021-03-22 02:04:34,"Pelanggan Yth. Bapak. Arifien Munandar. Terima kasih telah berbagi tanggapan Anda. Kami akan memaksimalkan fungsi dari aplikasi guna kenyamanan pelanggan. Hormat kami, Garuda Indonesia.",2020-03-03 15:36:16
garuda/citilink call center susah di hub. sudah instal aplikasi supaya bisa live chat tp ga dilayani. coba manage booking via aplikasi tp langsung eror dan keluar sendiri. tolong dong pelayanannya diperbaiki. tiket lebih mahal dr maskapai lain loh ini,garudacitilink call center susah hub instal live chat layan coba manage booking via langsung eror tolong layan baik tiket mahal maskapai loh,garudacitilink call center susah hub instal live chat layan coba manage booking via langsung eror tolong layan baik tiket mahal maskapai loh,garudacitilink cal center susah hub instal live chat layan coba manage booking via langsung eror tolong layan baik tiket mahal maskapai loh,"['garudacitilink', 'cal', 'center', 'susah', 'hub', 'instal', 'live', 'chat', 'layan', 'coba', 'manage', 'booking', 'via', 'langsung', 'eror', 'tolong', 'layan', 'baik', 'tiket', 'mahal', 'maskapai', 'loh']",1,21,5.2.2.1,2021-03-21 15:04:38,"Pelanggan Yth. Ibu Linda Nilasari, Terkait dengan case berikut silakan dicoba untuk memperbarui aplikasi dengan versi terbaru guna mempercepat akses lalu login kembali. Mohon maaf atas ketidaknyamanan yang terjadi. Demikian disampaikan. Hormat Kami, Garuda Indonesia.",2021-03-22 01:45:53
"update yang sangat besar perubahannya, terus tingkatkan lebih baik lagi, garuda indonesia terbaik",update ubah tingkat indonesia baik,update ubah tingkat indonesia baik,update ubah tingkat indonesia baik,"['update', 'ubah', 'tingkat', 'indonesia', 'baik']",5,6,5.2.2.1,2021-03-21 14:48:25,"Pelanggan Yth. Bapak Yogi Maulana, Terima kasih telah mengunduh dan memberikan bintang lima. Hormat kami, Garuda Indonesia.",2021-03-21 23:14:45
update terakhir 19 maret 2021 bisa digunakan,update 19 maret 2021,update maret,update maret,"['update', 'maret']",5,1,5.2.2.1,2021-03-21 13:59:14,"Pelanggan Yth. Bapak Tomi Srihandoko, Terima kasih telah mengunduh dan memberikan bintang lima. Hormat kami, Garuda Indonesia.",2021-03-21 23:12:55
setelah update new apps terbarunya ini semua jadi lebih mudah mulai dari ga miles yang sudah tidak force close lagi dan bisa liat point ga miles tanpa ngehang lagi plus ada redemption miles saat pesan flight plus ada entertainmentnya jugaa kereeen. bisa baca majalah ga saat di pesawat. gokil. thanks garuda indonesia atas improvementnya sudah mendengarkan keluhan kami.,update new apps baru mudah miles force close lihat point miles ngehang plus redemption miles pesan flight plus entertainmentnya kereeen baca majalah pesawat gokil thanks indonesia improvementnya dengar keluh,update new apps baru mudah miles force close lihat point miles ngehang plus redemption miles pesan flight plus entertainmentnya kereen baca majalah pesawat gokil thanks indonesia improvementnya dengar keluh,update new apps baru mudah miles force close lihat point miles ngehang plus redemption miles pesan flight plus entertainmentnya kereen baca majalah pesawat gokil thanks indonesia improvementnya dengar keluh,"['update', 'new', 'apps', 'baru', 'mudah', 'miles', 'force', 'close', 'lihat', 'point', 'miles', 'ngehang', 'plus', 'redemption', 'miles', 'pesan', 'flight', 'plus', 'entertainmentnya', 'kereen', 'baca', 'majalah', 'pesawat', 'gokil', 'thanks', 'indonesia', 'improvementnya', 'dengar', 'keluh']",5,37,5.2.2.1,2021-03-21 05:28:28,"Pelanggan Yth. Bapak Kirwanto, Terima kasih telah mengunduh dan memberikan bintang lima. Hormat kami, Garuda Indonesia.",2021-03-21 22:59:49
miles ku ilang mulu gara2 app y kelogout ga jelas,miles ku hilang mulu garagara kelogout,miles ku hilang mulu garagara kelogout,miles ku hilang mulu garagara kelogout,"['miles', 'ku', 'hilang', 'mulu', 'garagara', 'kelogout']",1,0,,2021-03-20 23:43:28,"Pelanggan Yth. Bapak/Ibu Elfrisea Sea, Terkait dengan case berikut silakan dicoba untuk memperbarui aplikasi dengan versi terbaru guna mempercepat akses lalu login kembali. Mohon maaf atas ketidaknyamanan yang terjadi. Demikian disampaikan. Hormat Kami, Garuda Indonesia.",2021-03-21 22:51:27
bagus,bagus,bagus,bagus,['bagus'],5,0,5.2.2,2021-03-20 04:11:31,"Pelanggan Yth. Bapak Nuzul Andi, Terima kasih telah mengunduh dan memberikan bintang lima. Hormat kami, Garuda Indonesia.",2021-03-21 22:49:48
saya sudah pakai 3hp berbeda. tetap saja garuda miles selalu force closed,pakai 3hp beda miles force closed,pakai hp beda miles force closed,pakai hp beda miles force closed,"['pakai', 'hp', 'beda', 'miles', 'force', 'closed']",1,1,,2021-03-18 08:34:25,"Pelanggan Kami Yang Terhormat. Terkait dengan case berikut silakan dicoba untuk memperbarui aplikasi dengan versi terbaru guna mempercepat akses lalu login kembali. Mohon maaf atas ketidaknyamanan yang terjadi. Demikian disampaikan. Hormat Kami, Garuda Indonesia.",2021-03-18 14:52:02
puas,puas,puas,puas,['puas'],5,0,5.2.1,2021-03-18 01:11:24,"Pelanggan Kami Yang Terhormat. Terima kasih, kami sangat senang mendengarnya. Hormat kami, Garuda Indonesia.",2021-03-18 14:35:29
msh perlu pengembangan,kembang,kembang,kembang,['kembang'],3,2,5.2.1,2021-03-16 14:58:20,"Pelanggan Yth. Bapak. Yosafat Soelya. Terkait dengan case berikut, silakan dicoba untuk memperbarui aplikasi dengan versi terbaru guna memperlancar akses data. Mohon maaf atas ketidaknyamanan yang terjadi. Demikian disampaikan. Hormat Kami, Garuda Indonesia.",2021-03-17 09:54:31
saat mau buka garuda miles selalu force closed,buka miles force closed,buka miles force closed,buka miles force closed,"['buka', 'miles', 'force', 'closed']",1,0,,2021-03-16 13:49:13,"Pelanggan Yth. Bapak. Fathan Ali Mubiina. Terkait dengan case berikut, silakan dicoba untuk memperbarui aplikasi dengan versi terbaru guna memperlancar akses data lalu lohin kembali. Mohon maaf atas ketidaknyamanan yang terjadi. Demikian disampaikan. Hormat Kami, Garuda Indonesia.",2021-03-17 09:52:54
"dimohon segera perbaiki sistem mobile garuda indonesianya, sudah dihapus, install lagi sama saja, versi terbarunya malah gak bisa buka garuda miles, saya susah mau lihat garuda miles saya, benar-benar sangat kecewa saya.",mohon baik sistem mobile indonesia hapus install versi baru buka miles susah lihat miles benarbenar kecewa,mohon baik sistem mobile indonesia hapus install versi baru buka miles susah lihat miles benarbenar kecewa,mohon baik sistem mobile indonesia hapus instal versi baru buka miles susah lihat miles benarbenar kecewa,"['mohon', 'baik', 'sistem', 'mobile', 'indonesia', 'hapus', 'instal', 'versi', 'baru', 'buka', 'miles', 'susah', 'lihat', 'miles', 'benarbenar', 'kecewa']",1,6,5.2.1,2021-03-16 10:16:37,"Pelanggan Yth. Bapak. Byoe Putra. Terkait dengan case berikut, kami akan segera lakukan perbaikan dan memaksimalkan fungsi dari aplikasi guna kenyamanan pelanggan. Mohon maaf atas ketidaknyamanan yang terjadi. Demikian disampaikan. Hormat Kami, Garuda Indonesia.",2021-02-12 11:50:37
"masih force close malahan tambah parah login aja ga bisa...yth. bpk. erik tohir kudu turun tangan buat rekrut tenaga it yg kompeten masa iya lambang penerbangan nasional no. 1 indonesia masih gagal perbaiki aplikasi sampe berbulan bulan,apa udah ga bisa d perbaiki sama sekali?apa udah masa bodo amat sama pelanggan?atau yasudahlah ga bakalan bangkrut ini toh rugi juga ditanggung negara",force close parah login bisayth bpk erik tohir kudu turun tangan rekrut tenaga kompeten iya lambang terbang nasional no 1 indonesia gagal baik bulan bulanapa baik sekaliapa bodo pelangganatau yasudahlah bangkrut rugi tanggung negara,force close parah login bisayth bpk erik tohir kudu turun tangan rekrut tenaga kompeten iya lambang terbang nasional no indonesia gagal baik bulan bulanapa baik sekaliapa bodo pelangganatau yasudahlah bangkrut rugi tanggung negara,force close parah login bisayth bpk erik tohir kudu turun tangan rekrut tenaga kompeten iya lambang terbang nasional no indonesia gagal baik bulan bulanapa baik sekaliapa bodo pelangganatau yasudahlah bangkrut rugi tanggung negara,"['force', 'close', 'parah', 'login', 'bisayth', 'bpk', 'erik', 'tohir', 'kudu', 'turun', 'tangan', 'rekrut', 'tenaga', 'kompeten', 'iya', 'lambang', 'terbang', 'nasional', 'no', 'indonesia', 'gagal', 'baik', 'bulan', 'bulanapa', 'baik', 'sekaliapa', 'bodo', 'pelangganatau', 'yasudahlah', 'bangkrut', 'rugi', 'tanggung', 'negara']",1,1,,2021-03-16 02:45:56,"Pelanggan Kami Yang Terhormat. Terkait dengan case berikut, silakan dicoba untuk memperbarui aplikasi dengan versi terbaru guna memperlancar akses data. Mohon maaf atas ketidaknyamanan yang terjadi. Demikian disampaikan. Hormat Kami, Garuda Indonesia.",2021-03-17 09:51:28
tolong perbaiki bug.. itu di bagian booking tidak ada tulisan,tolong baik bug booking tulis,tolong baik bug booking tulis,tolong baik bug booking tulis,"['tolong', 'baik', 'bug', 'booking', 'tulis']",2,2,5.2.1,2021-03-15 03:11:53,"Pelanggan Kami Yang Terhormat. Terkait dengan case berikut, silakan dicoba untuk memperbarui aplikasi dengan versi terbaru guna memperlancar akses data. Mohon maaf atas ketidaknyamanan yang terjadi. Demikian disampaikan. Hormat Kami, Garuda Indonesia.",2021-03-17 09:50:32
setelah update malah saat buka garuda miles force close..mohon jangan dijawab untuk screen shot/tangkapan layar..jgn kan screenshot..kedip mata aja udah close dluan aplikasinya,update buka miles force closemohon screen shottangkapan layarjgn screenshotkedip mata close dluan,update buka miles force closemohon screen shottangkapan layarjgn screenshotkedip mata close dluan,update buka miles force closemohon screen shottangkapan layarjgn screenshotkedip mata close dluan,"['update', 'buka', 'miles', 'force', 'closemohon', 'screen', 'shottangkapan', 'layarjgn', 'screenshotkedip', 'mata', 'close', 'dluan']",3,2,5.2.1,2021-03-15 03:01:17,"Pelanggan Yth. Bapak. Wahyu Anggriawan. Terkait dengan case berikut, silakan dicoba untuk memperbarui aplikasi dengan versi terbaru guna memperlancar akses data. Mohon maaf atas ketidaknyamanan yang terjadi. Demikian disampaikan. Hormat Kami, Garuda Indonesia.",2021-03-17 09:42:24
"aplikasi akan menutup secara otomatis ketika membuka garuda miles. sudah dilakukan uninstal dan pemasangan kembali, masalahnya tetap sama. tolong dapat segera diperbaiki. terima kasih",tutup otomatis buka miles uninstal pasang tolong baik terima kasih,tutup otomatis buka miles uninstal pasang tolong baik terima kasih,tutup otomatis buka miles uninstal pasang tolong baik terima kasih,"['tutup', 'otomatis', 'buka', 'miles', 'uninstal', 'pasang', 'tolong', 'baik', 'terima', 'kasih']",1,14,5.2.1,2021-03-14 22:32:22,"Pelanggan Yth. Ibu. Mika. Terkait dengan case berikut, silakan dicoba untuk memperbarui aplikasi dengan versi terbaru guna memperlancar akses data lalu login kembali. Mohon maaf atas ketidaknyamanan yang terjadi. Demikian disampaikan. Hormat Kami, Garuda Indonesia.",2021-03-17 09:34:18
"tolong dipermudah menggunakan aplikasiknya. ,seperti cek in aja susah bener.",tolong mudah aplikasiknya cek susah bener,tolong mudah aplikasiknya cek susah bener,tolong mudah aplikasiknya cek susah bener,"['tolong', 'mudah', 'aplikasiknya', 'cek', 'susah', 'bener']",3,0,,2021-03-14 06:00:06,"Pelanggan Yth. Bapak. Wendy Sergio. Terima kasih telah berbagi tanggapan Anda. Kami akan memaksimalkan fungsi dari aplikasi guna kenyamanan pelanggan. Hormat kami, Garuda Indonesia.",2021-03-14 20:18:52
kok gk bs terbuka ya garuda milesnya..langsung tertup.. mau liat poin gk bs..,buka milesnyalangsung tertup lihat poin bs,buka milesnyalangsung tertup lihat poin bs,buka milesnyalangsung tertup lihat poin bs,"['buka', 'milesnyalangsung', 'tertup', 'lihat', 'poin', 'bs']",1,5,5.2.1,2021-03-14 03:56:13,"Pelanggan Yth. Bapak. Endra Prayuda. Mohon maaf atas ketidaknyamanannya, silakan dicoba kosongkan cache guna memperlancar akses data lalu login kembali. Semoga kendala tidak terulang kembali. Hormat kami, Garuda Indonesia.",2021-03-14 20:17:33
"sudah di hapus cache,sudah di update,tetap saja menu garuda miles saat dibuka langsung menutup aplikasi garuda..kalau sudah ada beberapa yg komplain berarti memang aplikasinya yg belum sempurna..jadi tolong diperbaiki",hapus cachesudah updatetetap menu miles buka langsung tutup garudakalau komplain sempurnajadi tolong baik,hapus cachesudah updatetetap menu miles buka langsung tutup garudakalau komplain sempurnajadi tolong baik,hapus cachesudah updatetetap menu miles buka langsung tutup garudakalau komplain sempurnajadi tolong baik,"['hapus', 'cachesudah', 'updatetetap', 'menu', 'miles', 'buka', 'langsung', 'tutup', 'garudakalau', 'komplain', 'sempurnajadi', 'tolong', 'baik']",1,6,5.2.1,2021-03-14 02:06:08,"Pelanggan Yth. Bapak. Rachmat Sihotang. Terkait dengan case berikut, mohon dapat dikirimkan tangkapan layar kendala yang dialami ke e-booking@garuda-indonesia.com untuk kami tindak lanjuti. Mohon maaf atas ketidaknyamanan yang terjadi. Demikian disampaikan. Hormat Kami, Garuda Indonesia.",2021-03-14 20:15:51
"aplikasinya beda sm yg di iphone,klau disini ga bs buat cek miles.. parah neh aplikasi,bolak balik instal tetap aj kusut",beda iphoneklau cek miles parah nih aplikasibolak instal kusut,beda iphoneklau cek miles parah nih aplikasibolak instal kusut,beda iphoneklau cek miles parah nih aplikasibolak instal kusut,"['beda', 'iphoneklau', 'cek', 'miles', 'parah', 'nih', 'aplikasibolak', 'instal', 'kusut']",1,3,5.2.1,2021-03-13 12:54:10,"Pelanggan Kami Yang Terhormat. Terkait dengan case berikut, mohon dapat dikirimkan tangkapan layar kendala yang dialami ke e-booking@garuda-indonesia.com untuk kami tindak lanjuti. Mohon maaf atas ketidaknyamanan yang terjadi. Demikian disampaikan. Hormat Kami, Garuda Indonesia.",2021-03-13 17:58:17
keren,keren,keren,keren,['keren'],5,0,,2021-03-13 11:53:36,,
aplikasi sering keluar sendiri. terutama ketika mau akses garuda miles. tolong diperbaiki,akses miles tolong baik,akses miles tolong baik,akses miles tolong baik,"['akses', 'miles', 'tolong', 'baik']",3,2,5.2.1,2021-03-11 22:46:39,"Pelanggan Yth. Bapak Dodi Hudaya. Terkait dengan case berikut silakan dicoba untuk memperbarui aplikasi dengan versi terbaru guna mempercepat akses data lalu login kembali. Mohon maaf atas ketidaknyamanan yang terjadi. Demikian disampaikan. Hormat Kami, Garuda Indonesia.",2021-03-12 04:02:15
good 👍,good,good,good,['good'],5,0,5.2.1,2021-03-11 16:29:42,"Dear Valued Customer Mr. Dena. Thank you very much for your 5-star review. Sincerely, Garuda Indonesia.",2021-03-12 04:01:18
aplikasi buruk sekali tidak bisa digunakan.,buruk,buruk,buruk,['buruk'],1,0,,2021-03-11 11:26:56,"Pelanggan Yth. Bapak Arlin Zai. Terkait dengan case berikut silakan dicoba untuk memperbarui aplikasi dengan versi terbaru guna mempercepat akses data lalu mengaksesnya kembali. Mohon maaf atas ketidaknyamanan yang terjadi. Demikian disampaikan. Hormat Kami, Garuda Indonesia.",2021-03-11 23:15:08
garuda milesnya tetap tidak berguna,milesnya guna,milesnya guna,milesnya guna,"['milesnya', 'guna']",1,3,5.2.1,2021-03-11 09:59:06,"Dear Valued Customer. Thanks for downloading and sharing your feedback, we hope the application is useful. Sincerely, Garuda Indonesia.",2020-12-01 12:05:26
"ga usah minta tangkapan layar min, mimin cari dlu artinya force close apa....gimana saya bisa tangkap layar kan dia force close min....gini aja, mimin suruh aja itu it garuda indonesia baca semua ulasan pelanggan di playstore ini....kalo masih ga ngerti tuh it nya pecat aja....",tangkap layar min admin cari force close apagimana tangkap layar force close mingini aja admin suruh indonesia baca ulas langgan playstore inikalo erti tuh pecat aja,tangkap layar min admin cari force close apagimana tangkap layar force close mingini aja admin suruh indonesia baca ulas langgan playstore inikalo erti tuh pecat aja,tangkap layar min admin cari force close apagimana tangkap layar force close mingini aja admin suruh indonesia baca ulas langgan playstore inikalo erti tuh pecat aja,"['tangkap', 'layar', 'min', 'admin', 'cari', 'force', 'close', 'apagimana', 'tangkap', 'layar', 'force', 'close', 'mingini', 'aja', 'admin', 'suruh', 'indonesia', 'baca', 'ulas', 'langgan', 'playstore', 'inikalo', 'erti', 'tuh', 'pecat', 'aja']",1,22,5.2.1,2021-03-10 15:59:49,"Pelanggan Yth. Bapak. benito Siahaan. Terkait dengan case berikut, mohon dapat dikirimkan tangkapan layar kendala yang dialami ke e-booking@garuda-indonesia.com untuk kami tindak lanjuti. Mohon maaf atas ketidaknyamanan yang terjadi. Demikian disampaikan. Hormat Kami, Garuda Indonesia.",2021-03-10 15:55:06
"udah ngikutin saran dari admin garuda buat reinstal, n bersihkan chace tapi tetep aja g bs buat buka garumiles. parah bgt sih perusahaan sebesar garuda indonesia tp aplikasi pendukungnya g bagus. klo saran dari saya sebaiknya segera perbaiki sistem di aplikasi ini karena ini salah satu wajah perasahaan anda",ikut saran admin reinstal n sih chace buka garumiles parah banget sih usaha indonesia dukung bagus kalo saran baik sistem salah wajah perasahaan,ikut saran admin reinstal n sih chace buka garumiles parah banget sih usaha indonesia dukung bagus kalo saran baik sistem salah wajah perasahaan,ikut saran admin reinstal n sih chace buka garumiles parah banget sih usaha indonesia dukung bagus kalo saran baik sistem salah wajah perasahan,"['ikut', 'saran', 'admin', 'reinstal', 'n', 'sih', 'chace', 'buka', 'garumiles', 'parah', 'banget', 'sih', 'usaha', 'indonesia', 'dukung', 'bagus', 'kalo', 'saran', 'baik', 'sistem', 'salah', 'wajah', 'perasahan']",1,25,5.2.1,2021-03-10 14:59:29,"Pelanggan Kami Yang Terhormat. Terkait dengan case berikut, mohon dapat dikirimkan tangkapan layar kendala yang dialami ke e-booking@garuda-indonesia.com untuk kami tindak lanjuti. Mohon maaf atas ketidaknyamanan yang terjadi. Demikian disampaikan. Hormat Kami, Garuda Indonesia.",2021-03-10 15:57:26
good..!!!,good,good,good,['good'],5,0,5.2.1,2021-03-09 21:18:56,"Dear Mr. Muis Riadi. We are glad that you like our app, thank you. Sincerely, Garuda Indonesia.",2021-03-10 15:53:31
"dear developer aplikasi mobile garuda indonesia, segera perbaiki aplikasinya ya. saat saya buka menu garuda miles selalu force closed. saya sudah hapus chace, sudah update, sudah instal ulang aplikasi tapi sama saja forced close. di dua ponsel yang berbeda.",dear developer mobile indonesia baik buka menu miles force closed hapus chace update instal ulang forced close ponsel beda,dear developer mobile indonesia baik buka menu miles force closed hapus chace update instal ulang forced close ponsel beda,dear developer mobile indonesia baik buka menu miles force closed hapus chace update instal ulang forced close ponsel beda,"['dear', 'developer', 'mobile', 'indonesia', 'baik', 'buka', 'menu', 'miles', 'force', 'closed', 'hapus', 'chace', 'update', 'instal', 'ulang', 'forced', 'close', 'ponsel', 'beda']",2,48,5.2.1,2021-03-09 09:19:50,"Pelanggan Yth. Ibu Hapsari Dwi Wahyu Handayani. Terkait dengan case berikut silakan dicoba untuk memperbarui aplikasi dengan versi terbaru guna mempercepat akses data lalu login kembali. Mohon maaf atas ketidaknyamanan yang terjadi. Demikian disampaikan. Hormat Kami, Garuda Indonesia.",2021-03-09 08:10:41
"aplikasi payah, buruk dan tidak bisa di pakai, buat lihat garudamiles aja gak bisa tolong di perbaiki, masa perusahaan besar aplikasi nya jelek gini,",payah buruk pakai lihat garudamiles tolong baik usaha jelek gin,payah buruk pakai lihat garudamiles tolong baik usaha jelek gin,payah buruk pakai lihat garudamiles tolong baik usaha jelek gin,"['payah', 'buruk', 'pakai', 'lihat', 'garudamiles', 'tolong', 'baik', 'usaha', 'jelek', 'gin']",1,4,5.2.1,2021-03-08 22:44:25,"Pelanggan Yth. Ibu Rhevie Satrini. Terkait dengan case berikut silakan dicoba untuk memperbarui aplikasi dengan versi terbaru guna mempercepat akses data lalu login kembali. Mohon maaf atas ketidaknyamanan yang terjadi. Demikian disampaikan. Hormat Kami, Garuda Indonesia.",2021-03-09 08:09:02
